등록번호,대표자,상호,소재지,전화번호,구
41117-2023-00036,강수희,뜨란채공인중개사사무소,"경기도 수원시 영통구 영통로200번길 156 가상가동 103호 (망포동, 방죽마을영통뜨란채)",-,영통구
가3682-1486,강완주,뜨란채공인중개사사무소,"경기도 수원시 영통구 동탄원천로881번길 35 , 상가동 105호(매탄동, 주공그린빌)",031-216-4949,영통구
가3682-1405,이광덕,뜨란채공인중개사사무소,"경기도 수원시 영통구 중부대로448번길 28 , 상가 106호(원천동, 원천2단지)",031-216-8900,영통구
41117-2018-00169,손영주,라온공인중개사사무소,"경기도 수원시 영통구 영통로200번길 111 , 115동 103호",031-202-0222,영통구
41117-2016-00028,김동국,라온법률경매공인중개사사무소,"경기도 수원시 영통구 광교중앙로 234 , 502호(하동)",031-292-3819,영통구
41117-2025-00036,정현경,래미안114공인중개사사무소,"경기도 수원시 영통구 권선로908번길 72  110(근린생활시설)동 101호 (신동, 래미안 영통마크원 1단지)",,영통구
41117-2015-00088,김희관,래미안공인중개사사무소,"경기도 수원시 영통구 청명북로 33 , 상가동 101호(영통동,청명마을삼성아파트)",031-205-9955,영통구
41117-2017-00212,박정윤,래미안공인중개사사무소,"경기도 수원시 영통구 동탄원천로 1035 ,상가동 107호(매탄동)",031-215-0005,영통구
41117-2016-00067,이금숙,래미안광교공인중개사사무소,"경기도 수원시 영통구 센트럴파크로 60 상가동 103호 (이의동, 래미안광교)",031-212-8004,영통구
41117-2020-00174,박화춘,래미안단지내공인중개사사무소,"경기도 수원시 영통구 삼성로 11 215동 109호 (신동, 래미안영통마크원2단지)",031-203-4001,영통구
가3682-2030,채향숙,래미안황금부동산공인중개사사무소,"경기도 수원시 영통구 권선로908번길 19 1층 일부 (신동, 로얄프라자)",031-202-8700,영통구
41117-2018-00174,박문석,랜드114공인중개사사무소,"경기도 수원시 영통구 영통로290번길 23 가 상가동 103호(영통동,신나무실주공아파트)",031-202-4000,영통구
가3682-252,최현실,랜탑공인중개사사무소,"경기도 수원시 영통구 매탄로 73 , 106호(매탄동)",031-267-1114,영통구
41117-2022-00123,이은정,랜탑합동공인중개사사무소,경기도 수원시 영통구 매탄로 73 106호 (매탄동),031-267-1114,영통구
41117-2021-00033,김학영,럭셔리공인중개사사무소,경기도 수원시 영통구 법조로149번길 258 1층(하동),031-214-8890,영통구
가3682-1390,신철휴,럭셔리부동산중개사무소,"경기도 수원시 영통구 청명남로 39 , 제111호(영통동, 럭셔리프라자)",031-202-8333  031-205-2053,영통구
41117-2021-00177,최은희,럭키공인중개사사무소,"경기도 수원시 영통구 중부대로448번길 28 상가 106호(원천동, 원천레이크파크아파트)",-,영통구
41117-2019-00173,박주현,럭키공인중개사사무소,"경기도 수원시 영통구 덕영대로 1705 104호 (영통동, 일송프라자)",031-273-7778,영통구
41117-2016-00016,김정란,럭키부동산공인중개사사무소,"경기도 수원시 영통구 효원로 363 ,303상가 B동 123호(매탄동, 매탄위브하늘채)",031-211-4883,영통구
41117-2016-00108,김지연,런공인중개사사무소,경기도 수원시 영통구 아주로 26-1 1층 (원천동),031-213-5888,영통구
41117-2023-00071,오경희,레이크대표공인중개사사무소,"경기도 수원시 영통구 광교호수공원로 20 , 근린생활시설동-1동 지하 1층 B1-66호 (원천동)",031-212-5800,영통구
41117-2024-00016,이영진,로또공인중개사사무소,경기도 수원시 영통구 청명로 7 108호 (영통동),031-205-1888  -,영통구
41117-2021-00158,박주영,로제비앙부동산공인중개사사무소,"경기도 수원시 영통구 웰빙타운로 106 8823동 지하1층 제101호(이의동, 광교대광로제비앙)",031-217-5647,영통구
41117-2021-00083,민혜리,롯데365공인중개사사무소,경기도 수원시 영통구 덕영대로1555번길 16 102호(영통동),031-206-3650,영통구
41117-2017-00118,송여진,롯데공인중개사사무소,"경기도 수원시 영통구 덕영대로1555번길 16 ,상가101호(영통동,벽적골롯데아파트)",031-205-9449,영통구
가3682-1847,이미영,롯데엘클래스공인중개사사무소,"경기도 수원시 영통구 망포로48번길 7 근린생활시설동 1층 2호(망포동, 영통 롯데캐슬 엘클래스 2단지)",031-204-2489,영통구
41117-2025-00011,김지현,롯데엘클래스단지내공인중개사사무소,"경기도 수원시 영통구 망포로48번길 7 근린생활시설동 1층 1호(망포동, 영통 롯데캐슬 엘클래스 2단지)",031-204-0507,영통구
가3682-662,이은형,롯데우성공인중개사사무소,"경기도 수원시 영통구 영통로 232 , 상가 103호(영통동, 우성아파트)",203-3114,영통구
가3682-317,기승일,롯데현대공인중개사사무소,경기도 수원시 영통구 덕영대로1555번길 16 생활편익시설동 103호 (영통동),031-273-9911,영통구
41117-2025-00058,김미현,리더스공인중개사사무소,경기도 수원시 영통구 광교중앙로248번길 7-2 B-403호 일부(하동),-,영통구
가3682-1094,안귀주,리치공인중개사사무소,"경기도 수원시 영통구 삼성로277번길 21 , 1층(원천동)",211-0039,영통구
41117-2024-00093,왕철구,리치공인중개사사무소,경기도 수원시 영통구 신원로 108 1층 일부(망포동),031-202-5989  -,영통구
41117-2024-00053,하승완,마당공인중개사사무소,경기도 수원시 영통구 신원로283번길 41 1층 일부(매탄동),-,영통구
가3682-1671,김흥주,마르모공인중개사사무소,경기도 수원시 영통구 매봉로27번길 30 (매탄동),031-212-5549,영통구
41117-2021-00160,김은경,마블공인중개사사무소,경기도 수원시 영통구 삼성로168번길 81 (매탄동),031-893-1999,영통구
41117-2016-00060,김범식,마스터공인중개사사무소,"경기도 수원시 영통구 신원로294번길 21 ,101호(원천동)",031-211-9400,영통구
41117-2025-00012,박현정,마음이가는공인중개사사무소,"경기도 수원시 영통구 삼성로 245 , 1층 일부 (매탄동)",031-211-7000,영통구
41117-2025-00083,최희원,망고부동산공인중개사사무소,"경기도 수원시 영통구 영일로 8 , 107호 (영통동)",,영통구
41117-2022-00028,이창규,망포동탑공인중개사사무소,경기도 수원시 영통구 신원로 110-1 1층 일부 (망포동),-,영통구
41117-2021-00142,손은주,망포씨티부동산공인중개사사무소,경기도 수원시 영통구 덕영대로1499번길 55 2층 208호(망포동),031-203-0002,영통구
41117-2022-00136,남주한,망포역공인중개사사무소,경기도 수원시 영통구 영통로213번길 24 1층 일부(영통동),031-203-8400  -  -,영통구
41117-2025-00062,김동준,망포역김프로공인중개사사무소,경기도 수원시 영통구 신원로 116 1층 일부(신동),031-205-1118  -,영통구
가3682-1838,이범석,망포역참조은공인중개사사무소,"경기도 수원시 영통구 영통로 232 상가2동 108호(영통동, 두산.우성.한신아파트)",031-203-3500,영통구
41117-2020-00156,남윤호,망포역탑부동산공인중개사사무소,경기도 수원시 영통구 신원로 110-1 1층 (망포동),031-206-8333,영통구
41117-2025-00059,이용호,망포역파발마공인중개사사무소,경기도 수원시 영통구 영통로 195 지하 1층 B103호 일부 (망포동),-,영통구
41117-2024-00074,송진호,망포으뜸공인중개사사무소,경기도 수원시 영통구 영통로90번길 4-27 분산상가동 105호(망포동),-,영통구
41117-2023-00111,안건회,망포일등공인중개사사무소,경기도 수원시 영통구 덕영대로1499번길 79 1층 일부,-,영통구
41117-2023-00006,이유란,망포정직한공인중개사사무소,경기도 수원시 영통구 신원로 165 2층 일부 (신동),-,영통구
41117-2025-00029,강영숙,망포푸르지오공인중개사사무소,경기도 수원시 영통구 태장로36번길 36 근린생활시설동 214호 (망포동),-3232,영통구
41117-2020-00076,권정옥,망포힐스공인중개사사무소,"경기도 수원시 영통구 덕영대로 1462-14 602동 104호 (망포동, 힐스테이트영통)",-,영통구
41117-2017-00014,박상윤,매원공인중개사사무소,"경기도 수원시 영통구 매원로11번길 2 ,1층(매탄동)",031-213-5657,영통구
41117-2016-00050,정경빈,매탄 공인중개사사무소,"경기도 수원시 영통구 산남로 106 , 102호(매탄동)",031-217-0075,영통구
41117-2017-00051,이순정,매탄갤러리공인중개사사무소,"경기도 수원시 영통구 매영로 10 ,상가111호(매탄동,삼성2차아파트)",031-214-0078,영통구
41117-2023-00060,박세리나야,매탄부동산공인중개사사무소,경기도 수원시 영통구 산남로 24 1층 일부(매탄동),-  031-211-4321  -,영통구
41117-2023-00143,조서윤,매탄위브대한공인중개사사무소,"경기도 수원시 영통구 효원로 363 상가B동 120호 (매탄동, 매탄 위브 하늘채)",031-213-0144,영통구
41117-2024-00075,진하경,매탄위브두산공인중개사사무소,경기도 수원시 영통구 인계로 220 1층 일부(매탄동),-,영통구
41117-2015-00085,최병수,매탄위브수지공인중개사사무소,경기도 수원시 영통구 인계로220번길 16 (매탄동),031-215-2345,영통구
41117-2015-00153,이순자,매탄위브수지합동공인중개사사무소,"경기도 수원시 영통구 인계로220번길 16 ,1층(매탄동)",031-215-2345,영통구
가3682-1727,이정희,매탄위브애니콜공인중개사사무소,경기도 수원시 영통구 인계로220번길 6-85 (매탄동),211-8030,영통구
41117-2020-00180,김유자,매탄위브하트공인중개사사무소,"경기도 수원시 영통구 효원로 363 302상가A동 118호 (매탄동, 매탄위브하늘채)",031-216-6116,영통구
41117-2020-00067,김진일,매탄위브황금공인중개사사무소,"경기도 수원시 영통구 효원로 363 상가B동 108호 (매탄동, 매탄위브하늘채 303)",031-216-5115,영통구
41117-2019-00077,유은경,매탄파크공인중개사사무소,경기도 수원시 영통구 매탄로 180 1층 일부 (매탄동),,영통구
41117-2021-00016,정순연,매탄호수공인중개사사무소,경기도 수원시 영통구 매여울로57번길 39 1층 일부 (매탄동),031-214-8183,영통구
41117-2025-00020,이신욱,메가공인중개사사무소,"경기도 수원시 영통구 효원로 363 상가B동 216호 (매탄동, 매탄 위브 하늘채)",-  031-215-5901 5904,영통구
가3682-684,김황열,명성공인중개사사무소,"경기도 수원시 영통구 월드컵로179번길 18 , 1층(원천동)",217-5454,영통구
41117-2022-00055,이상은,명품공인중개사사무소,경기도 수원시 영통구 법조로 38 판매시설동 116호 일부(하동),031-272-3434,영통구
41117-2019-00147,김영록,명품공인중개사사무소,"경기도 수원시 영통구 청명로21번길 19 3층 일부 (영통동, 탑빌딩)",-,영통구
41117-2015-00107,이종삼,문명공인중개사사무소,"경기도 수원시 영통구 센트럴타운로 107 ,204동 B32호(이의동,광교푸르지오월드마크)",031-216-3434,영통구
41117-2020-00052,홍성원,미그린공인중개사사무소,"경기도 수원시 영통구 권광로260번길 36 상가3동 101호 (매탄동, 현대힐스테이트아파트)",031-217-1331,영통구
41117-2023-00004,박현영,미라클부동산공인중개사사무소,경기도 수원시 영통구 신원로198번길 47-8 1층 일부(매탄동),031-212-1224,영통구
가3682-623,태혜경,미래공인중개사사무소,"경기도 수원시 영통구 청명북로 67 , 나상가 101호(영통동, 청명마을주공아파트)",202-3800,영통구
가3682-614,박완규,미래공인중개사사무소,"경기도 수원시 영통구 동탄지성로488번길 22 , 상가 103호(망포동, 벽산e빌리지아파트)",031-203-1114,영통구
가3682-1124,서정순,미래공인중개사사무소,"경기도 수원시 영통구 봉영로1482번길 18 , 상가동 204호(영통동, 영통3차풍림아이원아파트)",202-4848,영통구
41117-2025-00049,고인호,미래공인중개사사무소,경기도 수원시 영통구 영통로501번길 36 2층 일부,,영통구
가3682-212,김지아,미래도시공인중개사사무소,"경기도 수원시 영통구 동탄원천로915번길 36 , 상가동 101호(매탄동, 주공그린빌)",031-216-4900,영통구
41117-2022-00121,주민경,미래도시합동공인중개사사무소,"경기도 수원시 영통구 동탄원천로915번길 36 상가동 101호 일부(매탄동, 주공그린빌)",031-216-4900,영통구
41117-2024-00050,배호영,미래앤공인중개사사무소,경기도 수원시 영통구 법조로 25 A동 1015호 일부 (하동),-,영통구
41117-2025-00076,송민욱,미르공인중개사사무소,경기도 수원시 영통구 광교중앙로248번길 95-1 605호(하동),-,영통구
나3681-160,양명숙,미성부동산 공인중개사사무소,경기도 수원시 영통구 인계로220번길 20 (매탄동),031-211-8824,영통구
41117-2020-00065,곽재훈,미성부동산합동공인중개사사무소,경기도 수원시 영통구 인계로220번길 20 1층 일부 (매탄동),031-211-8824,영통구
41117-2020-00181,배현종,미소공인중개사사무소,경기도 수원시 영통구 신원로136번길 8 1층 일부 (신동),031-273-9700,영통구
가3682-2045,박근향,미소공인중개사사무소,"경기도 수원시 영통구 인계로270번길 22 ,1층(매탄동)",031-217-7979  031-215-5651,영통구
가3681-1185,홍재영,미소공인중개사사무소,"경기도 수원시 영통구 동탄원천로915번길 33 , 상가 101호(매탄동, 주공그린빌아파트)",217-3838,영통구
41117-2019-00213,정영웅,미소공인중개사사무소,경기도 수원시 영통구 동수원로537번길 58 1층 일부 (원천동),031-215-4100,영통구
가3681-386,성찬희,미주공인중개사사무소,"경기도 수원시 영통구 동수원로 448 , 상가 106호(매탄동, 현대아파트)",211-6721,영통구
가3681-1422,전옥자,미주공인중개사사무소,"경기도 수원시 영통구 매영로310번길 31 , 107호(영통동)",205-2929,영통구
41117-2016-00085,황선경,민들레 공인중개사사무소,"경기도 수원시 영통구 청명로 130 , 상가동 109호(벽산삼익아파트)",031-205-4980,영통구
가3682-1289,장은희,믿음공인중개사사무소,"경기도 수원시 영통구 영통로90번길 4-27 , 주상가 106호(망포동, 늘푸른벽산(아))",031-206-5300,영통구
가3681-921,박진홍,믿음공인중개사사무소,"경기도 수원시 영통구 봉영로 1623 , 107호(영통동, 드림피아빌딩)",031-203-0456,영통구
가3682-1766,권나영,믿음공인중개사사무소,"경기도 수원시 영통구 매탄로140번길 54-2 , 1층(매탄동)",031-216-4100,영통구
가3682-1791,김주아,바로바로공인중개사사무소,"경기도 수원시 영통구 매영로 134 , 상가동 107호(매탄동, 원천1단지주공아파트)",213-9595,영통구
41117-2018-00116,양정하,바른공인중개사사무소,경기도 수원시 영통구 매탄로140번길 68-3 1층 (매탄동),031-248-2222  031-212-0028,영통구
41117-2016-00030,박창훈,바른법률경매공인중개사사무소,"경기도 수원시 영통구 광교중앙로248번길 40 , 408호(하동)",031-548-1161,영통구
41117-2023-00129,최병삼,바른부동산중개,경기도 수원시 영통구 에듀타운로 24 108호 일부 (이의동),031-253-7800  031-214-5949,영통구
41117-2023-00124,김호권,바른부동산중개K,경기도 수원시 영통구 에듀타운로 24 108호 일부 (이의동),031-252-5800,영통구
41117-2023-00125,이승근,바른부동산중개L,경기도 수원시 영통구 에듀타운로 24 108호 일부 (이의동),031-216-3333  031-212-8013,영통구
41117-2022-00063,박민주,박민주공인중개사사무소,경기도 수원시 영통구 광교호수공원로 20 104동 414호(원천동),031-216-5006,영통구
41117-2017-00065,박순남,박순남공인중개사사무소,경기도 수원시 영통구 중부대로246번길 36-1 1층 일부 (매탄동),031-211-0109,영통구
41117-2021-00093,박현웅,박현웅공인중개사사무소,경기도 수원시 영통구 반달로35번길 30 244(영통동),-,영통구
41117-2023-00109,최우식,반값공인중개사사무소,경기도 수원시 영통구 산남로29번길 2 1층 일부 (매탄동),031-308-3848,영통구
가3648-700,김경환,백두산공인중개사사무소,"경기도 수원시 영통구 삼성로 274 , 상가 148호(원천동, 팩토리월드)",031-216-2141,영통구
가3682-924,양승신,뱅크부동산공인중개사사무소,경기도 수원시 영통구 효원로 363 상가A동 120호 (매탄동),031-213-0003,영통구
41117-2019-00076,이정복,번영공인중개사사무소,"경기도 수원시 영통구 센트럴타운로 107 204동 1층 B-22호, 23호(이의동, 광교푸르지오 월드마크,  월드스퀘어)",031-548-2342,영통구
41117-2023-00147,이상우,법대로이상우공인중개사사무소,경기도 수원시 영통구 봉영로 1587 다모아프라자동 207호 (영통동),-,영통구
41117-2024-00086,박상준,베스트공인중개사사무소,경기도 수원시 영통구 인계로292번길 42-3 1층 일부(매탄동),-,영통구
41117-2019-00075,임락재,벽산공인중개사사무소,"경기도 수원시 영통구 영통로90번길 4-27 주상가동 104호 일부 (망포동, 늘푸른벽산아파트)",031-204-2000,영통구
41117-2015-00100,김수연,벽산부동산플러스 공인중개사사무소,"경기도 수원시 영통구 봉영로1744번길 11 상가1동 109호(영통동, 벽산풍림아파트)",031-203-4488,영통구
가3682-893,임미화,벽적골랜드공인중개사사무소,"경기도 수원시 영통구 영통로290번길 26 , 벽적골1단지 나-101(영통동)",203-2700,영통구
41117-2024-00045,정용하,별빛부동산공인중개사사무소,경기도 수원시 영통구 영통로331번길 50 1층 일부(매탄동),031-890-2288  -,영통구
41117-2023-00153,김현경,복리부동산중개사무소,경기도 수원시 영통구 봉영로 1569 208호 일부 (영통동),-,영통구
가3682-1106,김영도,본수원공인중개사사무소,"경기도 수원시 영통구 권광로260번길 36 , 상가1 101호(매탄동, 현대힐스테이트(아))",216-2200,영통구
41117-2017-00058,김영신,본수원합동공인중개사사무소,"경기도 수원시 영통구 권광로260번길 36 ,제1상가 101호(매탄동,현대힐스테이트아파트)",216-2200,영통구
가3682-547,이정미,부국공인중개사사무소,"경기도 수원시 영통구 매탄로100번길 17 , 102호(매탄동, 우영프라자)",215-0024,영통구
가3682-1285,전난희,부동산114우리공인중개사사무소,"경기도 수원시 영통구 권광로260번길 36 , 상가4 101호(매탄동,  현대힐스테이트아파트)",213-1055,영통구
41117-2015-00041,최수경,부동산가이드 공인중개사사무소,경기도 수원시 영통구 매영로310번길 31 신원미주아파트상가 104호,031-202-5300,영통구
가3682-174,윤성순,부동산가이드공인중개사사무소,"경기도 수원시 영통구 봉영로1517번길 23 , 상가106호(영통동, 벽적골주공아파트))",031-222-8000,영통구
41117-2018-00001,박예숙,부동산뉴스공인중개사사무소,"경기도 수원시 영통구 영통로290번길 28 ,가상가 101호(영통동, 벽적골주공휴먼시아8단지아파트)",031-202-8000,영통구
가3682-1199,김진희,부동산뉴스공인중개사사무소,"경기도 수원시 영통구 영통로200번길 189 , 상가동 203호(영통동, 영통3차 풍림아이원아파트)",206-0078,영통구
가3682-715,이상애,부동산뉴스공인중개사사무소,"경기도 수원시 영통구 산남로67번길 1 , 101호(매탄동)",213-6500,영통구
가3682-1030,김혜정,부동산뉴스공인중개사사무소,"경기도 수원시 영통구 인계로264번길 19 , 1층(매탄동)",217-5300,영통구
가3682-1449,최종수,부동산뉴스합동공인중개사사무소,경기도 수원시 영통구 인계로264번길 19 (매탄동),031-214-6003,영통구
41117-2025-00078,장제시,부동산랜드공인중개사사무소,"경기도 수원시 영통구 봉영로1770번길 21 상가동 118호 (영통동, 신명.한국아파트)",031-206-8811,영통구
가3682-1464,정선임,부동산랜드공인중개사사무소,경기도 수원시 영통구 영통로90번길 4-20 (망포동),031-204-5900,영통구
41117-2018-00141,성열고,부동산랜드신흥공인중개사사무소,"경기도 수원시 영통구 매탄로126번길 66 , 상가동 101호(매탄동, 주공그린빌)",031-217-1155,영통구
가3682-1420,김성일,부동산랠리공인중개사사무소,경기도 수원시 영통구 영일로 18 1층 일부 (영통동),031-205-8100,영통구
가3682-1154,반정애,부동산뱅크미래공인중개사사무소,"경기도 수원시 영통구 매영로 10 , 상가동 112호(매탄동, 삼성아파트)",031-211-0033,영통구
가3682-724,송향란,부동산세상공인중개사사무소,"경기도 수원시 영통구 매영로310번길 87 , 상가동 112호(영통동, 동보.신명아파트)",031-204-5588,영통구
41117-2025-00016,조성자,부동산중개법인메가원주식회사,경기도 수원시 영통구 광교중앙로 256 202호 (하동),-,영통구
가3681-1211,김상영,부동산플러스플러스공인중개사사무소,"경기도 수원시 영통구 태장로71번길 15 , 상가101호(망포동, 동수원엘지빌리지2차(아))",204-0700,영통구
41117-2015-00049,조내연,부동산플러스행운공인중개사사무소,"경기도 수원시 영통구 매영로310번길 36 신안상가 101호(영통동,신성,신안,쌍용,진흥아파트)",031-202-6644,영통구
41117-2025-00024,장규민,부드림공인중개사사무소,"경기도 수원시 영통구 센트럴타운로 76 근린생활시설-1동 102호 일부 (이의동, e편한세상 광교)",-,영통구
가3682-1016,박미향,부자공인중개사사무소,"경기도 수원시 영통구 인계로 240 , 101동 1-12호(매탄동, 삼호그랜드빌라)",217-6300,영통구
41117-2019-00174,한영미,비젼공인중개사사무소,경기도 수원시 영통구 매원로 10 1층 일부 (매탄동),031-212-4488,영통구
41117-2025-00066,서명원,빌립공인중개사사무소,"경기도 수원시 영통구 매영로247번길 16 , 1층 일부(원천동)",031-212-8886,영통구
41117-2016-00259,오미영,뿌리(구)주공공인중개사사무소,"경기도 수원시 영통구 동수원로 432 5동 103호(매탄동, 동남아파트)",031-213-3100,영통구
가3681-868,정윤숙,산남합동공인중개사사무소,경기도 수원시 영통구 매봉로27번길 52 (매탄동),214-4646,영통구
가3682-680,남창현,산남합동공인중개사사무소,"경기도 수원시 영통구 매봉로27번길 52 , 1층 상가 남서쪽(매탄동)",214-4646,영통구
가3682-1063,장수연,산드래미공인중개사사무소,경기도 수원시 영통구 매탄로160번길 39 1층 일부 (매탄동),031-213-7242,영통구
가3682-434,김석식,산들공인중개사사무소,"경기도 수원시 영통구 매탄로 184 , 1층(매탄동)",031-212-0244,영통구
가3682-345,이민영,살구골공인중개사사무소,"경기도 수원시 영통구 매영로 368 상가101호 (영통동, 현대아파트)",031-202-6900,영통구
가3682-1019,서인택,살구골리치공인중개사사무소,"경기도 수원시 영통구 봉영로 1526 , 상가 107호(영통동, 살구마을아파트)",203-5000,영통구
가3682-836,박종선,살구골합동공인중개사사무소,"경기도 수원시 영통구 매영로 368 , 상가 101호(영통동, 현대아파트)",202-6900,영통구
41117-2023-00072,강규민,삼성114공인중개사사무소,"경기도 수원시 영통구 청명북로 33 , 상가동 108호 (영통동, 청명마을삼성아파트)",031-203-0099,영통구
41117-2024-00037,정주숙,삼성경매공인중개사사무소,경기도 수원시 영통구 법조로149번길 181-2 1층 일부 (하동),031-212-4744,영통구
41117-2023-00098,최은주,삼성공인중개사사무소,경기도 수원시 영통구 삼성로268번길 6 상가동 105호 (원천동),031-213-7744,영통구
41117-2019-00055,최기영,삼성공인중개사사무소,"경기도 수원시 영통구 봉영로1517번길 73 상가동 105호 (영통동, 삼성.태영아파트)",031-203-9000,영통구
가3682-81,황은심,삼성공인중개사사무소,"경기도 수원시 영통구 인계로 219 ,상가 118호(매탄동, 삼성1차)",214-3500,영통구
가3682-855,최윤식,삼성공인중개사사무소,"경기도 수원시 영통구 삼성로292번길 25 102동 1103호 (원천동, 신동아파라디움오피스텔)",031-204-0009,영통구
가3682-637,김순향,삼성공인중개사사무소,"경기도 수원시 영통구 영통로200번길 156 , 가상가 102호(망포동, 방죽마을영통뜨란채아파트)",031-273-5252,영통구
가3681-962,안형균,삼성공인중개사사무소,"경기도 수원시 영통구 매영로 10 , 상가 117호(매탄동, 삼성2차아파트)",211-4545,영통구
가3682-2029,이은순,삼성공인중개사사무소,"경기도 수원시 영통구 영통로 232 상가2동 106호(영통동, 두산.우성.한신아파트)",031-203-7800,영통구
가3681-1421,오내리,삼성공인중개사사무소,"경기도 수원시 영통구 반달로7번길 40 , 119호(영통동, 평익칼라스위트)",031-205-6600,영통구
가3682-85,김용삼,삼성공인중개사사무소,"경기도 수원시 영통구 동탄원천로 1035 , 상가동 106호(매탄동,삼성3차아파트)",211-2525,영통구
가3682-1618,김순선,삼성공인중개사사무소,"경기도 수원시 영통구 청명로 83 , 1층(영통동)",031-202-9900  -,영통구
41117-2018-00235,정환석,삼성래미안공인중개사사무소,경기도 수원시 영통구 삼성로 11 216동 110호 (신동),031-238-0077,영통구
가3682-850,김옥경,삼성시티공인중개사사무소,경기도 수원시 영통구 신원로 287-1 1층 (매탄동),031-215-5111,영통구
41117-2023-00030,이종민,삼성에이스공인중개사사무소,경기도 수원시 영통구 광교중앙로248번길 7-3 304호 일부 (하동),-,영통구
41117-2024-00100,이황경,삼성이룸공인중개사사무소,경기도 수원시 영통구 신원로283번길 26 1층(매탄동),031-243-7610,영통구
41117-2017-00034,임선미,삼성좋은날공인중개사사무소,"경기도 수원시 영통구 인계로 219 상가동 133호 일부 (매탄동, 삼성1차아파트)",031-211-8855,영통구
41117-2023-00079,박소정,삼성타운공인중개사사무소,경기도 수원시 영통구 신원로 122-1 1층 일부 (신동),-,영통구
41117-2019-00201,이명환,삼성탑공인중개사사무소,경기도 수원시 영통구 신원로211번길 1 1층 일부 (매탄동),031-214-3030,영통구
41117-2019-00053,이종호,삼성합동공인중개사사무소,경기도 수원시 영통구 청명로 83 1층 일부 (영통동),031-203-7179,영통구
41117-2015-00055,김수환,삼성행운공인중개사사무소,"경기도 수원시 영통구 삼성로 11 ,216동 113호(신동,래미안영통마크원2단지)",031-202-0014,영통구
가3682-349,주기복,삼익공인중개사사무소,"경기도 수원시 영통구 권광로260번길 36 , 상가1동 115호(매탄동, 현대홈타운)",212-4100,영통구
가3681-1180,임근창,삼정공인중개사사무소,"경기도 수원시 영통구 산남로 74 , 상가동 1층(매탄동, 선우장미연립)",212-0123,영통구
가3681-319,손미정,삼흥공인중개사사무소,"경기도 수원시 영통구 매여울로 38 , 1층(매탄동)",214-3321,영통구
41117-2019-00210,장인철,상가나라공인중개사사무소,"경기도 수원시 영통구 반달로7번길 16 108호 (영통동, e-폴리스)",031-202-0789,영통구
41117-2025-00023,이주한,상가를담다주한공인중개사사무소,"경기도 수원시 영통구 센트럴타운로 76 근린생활시설-1동 102호 일부 (이의동, e편한세상 광교)",-312575550,영통구
가3681-1169,엄명자,새롬공인중개사사무소,"경기도 수원시 영통구 동탄원천로915번길 36 상가 104호 (매탄동, 주공3단지)",031-217-8777,영통구
가3682-691,김명숙,새천년공인중개사사무소,"경기도 수원시 영통구 봉영로1517번길 20 , 상가 112호(영통동, 신나무실극동풍림아파트)",202-8400,영통구
41117-2025-00025,김종훈,새희망공인중개사사무소,경기도 수원시 영통구 에듀타운로 101 102동 107호 (이의동),-,영통구
가3682-820,이종례,샘터공인중개사사무소,"경기도 수원시 영통구 영통로514번길 53 , 상가 104호(영통동, 황골주공2단지)",203-8200,영통구
41117-2021-00161,임샛별,샛별공인중개사사무소,"경기도 수원시 영통구 법조로 25 A동 1613호 일부(하동, 광교 SK VIEW Lake)",031-214-9555,영통구
가3682-1757,유대열,샤니공인중개사합동사무소,경기도 수원시 영통구 인계로220번길 12,031-216-0066,영통구
가3682-190,이병덕,서진공인중개사사무소,"경기도 수원시 영통구 중부대로271번길 27-11 ,원천주공단지내상가 104호(원천동)",216-4321,영통구
41117-2018-00152,김정임,서희공인중개사사무소,"경기도 수원시 영통구 태장로35번길 64 상가동 101호 (망포동, 극동의푸른별아파트)",031-202-1414,영통구
41117-2025-00069,이정환,성공파트너공인중개사사무소,경기도 수원시 영통구 신원로198번길 47-10 1층 일부(매탄동),-,영통구
가3681-517,조승환,성일공인중개사사무소,"경기도 수원시 영통구 인계로 239 , 상가1동 1층 9호(매탄동, 성일상가)",212-1009,영통구
41117-2019-00013,심애란,성일공인중개사사무소,"경기도 수원시 영통구 동탄원천로1109번길 42 상가동 105호 (매탄동, 성일아파트)",031-212-4848,영통구
41117-2016-00106,이금주,성지 공인중개사사무소,"경기도 수원시 영통구 봉영로 1526 ,상가동 105호(영통동,살구마을아파트)",031-203-8800,영통구
41117-2023-00091,송태호,세움공인중개사사무소,경기도 수원시 영통구 광교중앙로248번길 7-3 302호 일부(하동),-,영통구
41117-2020-00142,장진아,세움부동산중개법인주식회사,"경기도 수원시 영통구 망포로 136 에이동 107호(망포동, 영통플래티넘베이스)",031-546-3535,영통구
41117-2022-00114,박진양,센스공인중개사사무소,"경기도 수원시 영통구 매영로 84 상가동 103호(매탄동, 한국아파트)",-,영통구
가3682-1779,금재영,센타공인중개사사무소,"경기도 수원시 영통구 반달로7번길 6 센타프라자동,106-2호(영통동)",031-206-0337,영통구
41117-2023-00020,이명윤,센트럴뷰좋은집공인중개사사무소,"경기도 수원시 영통구 센트럴타운로22번길 36 상가동 101호(이의동, 광교센트럴뷰)",-9124,영통구
41117-2023-00136,김구권,센트럴뷰행운부동산공인중개사사무소,"경기도 수원시 영통구 센트럴타운로22번길 36 상가동 106호 (이의동, 광교센트럴뷰)",031-214-6001,영통구
